,region,day_of_week,hour,pred_demand,actual_demand,start_lat,start_lng
0,0,Friday,0,350.00230556896065,476.0,59.43560395613266,24.748286193602667
146,1,Friday,2,321.83726480138387,42.0,59.39877807272732,24.648016294750146
147,1,Friday,3,324.894669635387,34.0,59.40196483530481,24.637372338622434
148,1,Friday,4,302.44045226165525,59.0,59.398688326099034,24.647440310593623
149,1,Friday,5,328.28124849404423,126.0,59.40071860835196,24.647640997547402
150,1,Friday,6,318.515993525767,167.0,59.40520573355006,24.651087656243043
151,1,Friday,7,331.55220622877613,157.0,59.399722971289464,24.650534870469517
152,1,Friday,8,336.0799775514693,149.0,59.40631172997139,24.64711772348897
153,1,Friday,9,336.79352604896013,166.0,59.40365603903507,24.648598401103687
154,1,Friday,10,339.1754947320007,124.0,59.40472367429889,24.648958334477317
145,1,Friday,1,322.3984087063602,45.0,59.40313769516345,24.64536289689333
309,2,Friday,21,352.6959719368546,208.0,59.41892621245593,24.706559386906285
157,1,Friday,13,344.4581449231197,149.0,59.40515148855267,24.647692755881383
158,1,Friday,14,345.7413720910637,166.0,59.403940319840636,24.645300822186528
159,1,Friday,15,346.7975034602386,194.0,59.402417389967034,24.646877466092363
160,1,Friday,16,349.125341845216,217.0,59.4038438099791,24.64467012961436
161,1,Friday,17,349.7247856825345,180.0,59.40187125624731,24.646143968125596
162,1,Friday,18,352.1767433090705,194.0,59.402618293915936,24.645963417059477
163,1,Friday,19,356.9359288243104,171.0,59.409392742930585,24.643682198353105
164,1,Friday,20,345.97214611717527,136.0,59.40388399991356,24.645100733668745
165,1,Friday,21,357.07348518092937,145.0,59.40136469594633,24.65088610808229
156,1,Friday,12,342.2313129555517,140.0,59.40459054848494,24.646623920451642
166,1,Friday,22,359.0515397916521,120.0,59.40245895957321,24.646355792363988
144,1,Friday,0,318.4203666385673,59.0,59.398252839400335,24.647819877413216
577,4,Friday,1,294.13089528984483,34.0,59.42721347271208,24.802066395249927
597,4,Friday,21,328.07403558679925,133.0,59.42437064558149,24.80240126668048
596,4,Friday,20,327.2466657268907,119.0,59.426541285741735,24.80224290468257
595,4,Friday,19,324.72778205717634,158.0,59.42484907316873,24.798949846723264
594,4,Friday,18,323.1403721124445,152.0,59.42544270135076,24.79923058124667
593,4,Friday,17,321.85243398505287,213.0,59.426135624803244,24.798972123507177
592,4,Friday,16,319.5153005202731,219.0,59.425077182303184,24.800206617132716
591,4,Friday,15,318.0974785584605,237.0,59.42597513282434,24.801954192331575
590,4,Friday,14,316.5066790744162,213.0,59.42615976659768,24.800098990202784
589,4,Friday,13,314.7017895716528,193.0,59.4262092864513,24.800878446283246
576,4,Friday,0,291.02743035329087,53.0,59.425726331270475,24.79825002034406
588,4,Friday,12,312.3863215363343,143.0,59.425088247359625,24.79922888420564
586,4,Friday,10,300.33200197175177,160.0,59.42486010904872,24.802004555866844
585,4,Friday,9,308.22000891905356,152.0,59.427727217810364,24.799861834819136
584,4,Friday,8,296.949694725271,145.0,59.42723033040286,24.801399177897633
583,4,Friday,7,303.4739023463266,151.0,59.42464357158829,24.80182866035783
582,4,Friday,6,301.6260264544484,136.0,59.42447002704417,24.803827024735885
581,4,Friday,5,300.5828730218116,106.0,59.42625099145604,24.802553569876178
580,4,Friday,4,300.4788853984542,60.0,59.42982920065845,24.80131572409573
579,4,Friday,3,297.20469557197924,37.0,59.426507012748765,24.805353065342054
578,4,Friday,2,295.2389171317918,30.0,59.42562386868937,24.802699277793526
587,4,Friday,11,310.45426287428614,142.0,59.424781704261285,24.800390800294846
598,4,Friday,22,328.06255686150894,118.0,59.42062829561193,24.802616115314333
167,1,Friday,23,357.76683722097073,78.0,59.405136407788255,24.64139159831225
454,3,Friday,22,367.4136653353922,88.0,59.467954063453504,24.85888279033933
289,2,Friday,1,318.2297773500436,74.0,59.421007068627304,24.709041189499143
290,2,Friday,2,321.01114325018045,76.0,59.42278466059969,24.71073115179659
291,2,Friday,3,322.4549867797043,73.0,59.42240693696137,24.708087545942924
292,2,Friday,4,322.9422893836272,133.0,59.41978579120418,24.707132859802808
293,2,Friday,5,324.7285986185739,285.0,59.419867386768985,24.706625784839304
294,2,Friday,6,326.83194204524585,393.0,59.42049587017807,24.708104291034918
295,2,Friday,7,328.16847776260363,421.0,59.4193379155105,24.708097982138604
296,2,Friday,8,329.1654537611615,348.0,59.41771667535755,24.7085030637523
297,2,Friday,9,331.1155226674268,346.0,59.41811712786323,24.707544880970893
288,2,Friday,0,309.959965361432,127.0,59.41885066667866,24.709017981440905
298,2,Friday,10,333.3230686262832,274.0,59.419603248460085,24.706489504378492
300,2,Friday,12,337.18197335341443,328.0,59.41985707282198,24.708073263466435
301,2,Friday,13,338.1215575962499,331.0,59.41758200593309,24.70979445726053
302,2,Friday,14,338.9926623831655,380.0,59.418512082965115,24.7064189774667
303,2,Friday,15,341.07767945483505,447.0,59.41669684185856,24.70971480514133
304,2,Friday,16,343.3210416746509,434.0,59.417786297686185,24.707661802914473
305,2,Friday,17,346.14898180657997,384.0,59.420137733427445,24.70819043613972
306,2,Friday,18,342.15138194372213,273.0,59.41859228439272,24.707115104090406
307,2,Friday,19,348.78942269719124,265.0,59.41827144424935,24.70711983408764
308,2,Friday,20,350.7291818114211,244.0,59.4187008931255,24.70813755078314
299,2,Friday,11,329.65542747933927,326.0,59.41629171218041,24.708621514212155
455,3,Friday,23,365.8748254246848,74.0,59.46042120945502,24.859786919995155
311,2,Friday,23,356.50636155941316,188.0,59.419783650948155,24.705765525422926
433,3,Friday,1,323.9292858785732,37.0,59.45381121713433,24.86224713100908
453,3,Friday,21,364.15949745891777,109.0,59.46480897502753,24.859383798139707
452,3,Friday,20,363.71782768824323,109.0,59.468260879039086,24.86253771494793
451,3,Friday,19,359.8978677487152,104.0,59.463194656591405,24.863636327291367
450,3,Friday,18,357.93797906858094,114.0,59.462911710867125,24.86137032048151
449,3,Friday,17,340.6771799694856,149.0,59.463457632399546,24.858404828401248
448,3,Friday,16,356.2775211897905,170.0,59.46660778220241,24.857397722951262
447,3,Friday,15,337.6744800084139,161.0,59.461925770309875,24.86016316091468
446,3,Friday,14,350.60009384500984,136.0,59.46251779214862,24.856730372203458
445,3,Friday,13,351.13644623883243,131.0,59.46745172264921,24.858390705036854
